Condition,Staining,Replicate,Label,Sample,Condition_staining,Sample_replicate,Condition_replicate,PixelCount,Area,Perimeter,Length_mm,AverageThickness,InscrDisc.Radius,Circularity,RRmean_absolute,MaxFeretDiam,MaxFeretDiamAngle,Tortuosity,RRmean_NS_Condition,RRmean_NS_rep,RRmean_relative_NS_Condition,RRmean_relative_NS_rep
col-0,NonStained,rep_3,4,col-0-NonStained-rep_3-4,col-0-NonStained,col-0-NonStained-rep_3,col-0-rep_3,49103,1948410.937,18249.694,9.248594,211.213,132.283,0.074,229.093,9134.121,90.435,1.013,217.462636363636,214.20525,NA,NA
col-0,Stained,rep_1,1,col-0-Stained-rep_1-1,col-0-Stained,col-0-Stained-rep_1,col-0-rep_1,106036,4185551.907,33097.054,16.492306,248.513,175.917,0.048,222.257,16344.279,87.047,1.009,217.462636363636,225.867666666667,1.02204683855826,0.984014238425745
col-0,Stained,rep_1,10,col-0-Stained-rep_1-10,col-0-Stained,col-0-Stained-rep_1,col-0-rep_1,72036,2843472.19,26147.311,12.800562,216.918,131.938,0.052,214.299,12544.283,103.556,1.02,217.462636363636,225.867666666667,0.985452046307642,0.948781218501099
col-0,Stained,rep_1,11,col-0-Stained-rep_1-11,col-0-Stained,col-0-Stained-rep_1,col-0-rep_1,66702,2632923.566,21780.97,10.643066,235.869,144.503,0.07,232.107,10424.716,85.021,1.021,217.462636363636,225.867666666667,1.06734197598835,1.02762384464059
col-0,Stained,rep_1,12,col-0-Stained-rep_1-12,col-0-Stained,col-0-Stained-rep_1,col-0-rep_1,63691,2514070.565,21939.925,10.895633,224.766,138.22,0.066,216.09,10689.622,91.28,1.019,217.462636363636,225.867666666667,0.993687943885031,0.956710640301179
col-0,Stained,rep_1,2,col-0-Stained-rep_1-2,col-0-Stained,col-0-Stained-rep_1,col-0-rep_1,81106,3201491.691,26626.63,13.24161,234.723,163.351,0.057,223.506,12727.119,99.49,1.04,217.462636363636,225.867666666667,1.02779035395422,0.989544025041212
col-0,Stained,rep_1,3,col-0-Stained-rep_1-3,col-0-Stained,col-0-Stained-rep_1,col-0-rep_1,100177,3954279.993,32311.261,16.189476,238.938,175.917,0.048,220.271,16027.323,90.112,1.01,217.462636363636,225.867666666667,1.01291423521449,0.975221479243746
col-0,Stained,rep_1,4,col-0-Stained-rep_1-4,col-0-Stained,col-0-Stained-rep_1,col-0-rep_1,79541,3139716.551,29602.154,14.445386,205.578,157.069,0.045,221.392,14175.432,86.926,1.019,217.462636363636,225.867666666667,1.01806914374841,0.980184562346979
col-0,Stained,rep_1,5,col-0-Stained-rep_1-5,col-0-Stained,col-0-Stained-rep_1,col-0-rep_1,80114,3162334.541,28209.011,14.253133,219.286,163.351,0.05,228.611,14030.328,96.221,1.016,217.462636363636,225.867666666667,1.051265651069,1.01214575496271
col-0,Stained,rep_1,6,col-0-Stained-rep_1-6,col-0-Stained,col-0-Stained-rep_1,col-0-rep_1,98101,3872334.184,30996.187,15.136488,251.604,157.069,0.051,222.274,14639.371,94.776,1.034,217.462636363636,225.867666666667,1.02212501290713,0.984089503735963
col-0,Stained,rep_1,7,col-0-Stained-rep_1-7,col-0-Stained,col-0-Stained-rep_1,col-0-rep_1,77711,3067481.084,26951.184,13.167474,224.772,157.069,0.053,218.544,12960.813,92.473,1.016,217.462636363636,225.867666666667,1.00497264106812,0.967575409199782
col-0,Stained,rep_1,8,col-0-Stained-rep_1-8,col-0-Stained,col-0-Stained-rep_1,col-0-rep_1,83964,3314305.333,26519.62,12.901086,246.157,150.786,0.059,228.923,12681.988,97.114,1.017,217.462636363636,225.867666666667,1.05270038029521,1.01352709477378
col-0,Stained,rep_1,9,col-0-Stained-rep_1-9,col-0-Stained,col-0-Stained-rep_1,col-0-rep_1,73031,2882747.758,24760.232,12.517838,228.309,163.351,0.059,217.02,12417.931,88.695,1.008,217.462636363636,225.867666666667,0.997964540617009,0.960828095507251
col-0,Stained,rep_2,1,col-0-Stained-rep_2-1,col-0-Stained,col-0-Stained-rep_2,col-0-rep_2,91803,3623733.653,31416.66,15.850207,225.364,131.938,0.046,219.646,15708.622,87.066,1.009,217.462636363636,214.41625,1.01004017827096,1.02439064203389
col-0,Stained,rep_2,10,col-0-Stained-rep_2-10,col-0-Stained,col-0-Stained-rep_2,col-0-rep_2,83744,3305621.288,28522.585,14.398892,227.938,138.22,0.051,226.917,14224.232,90.202,1.012,217.462636363636,214.41625,1.04347580712925,1.05830131811372
col-0,Stained,rep_2,11,col-0-Stained-rep_2-11,col-0-Stained,col-0-Stained-rep_2,col-0-rep_2,70101,2767092.065,25382.239,12.849568,213.505,125.655,0.054,220.469,12687.116,85.825,1.013,217.462636363636,214.41625,1.0138247364542,1.02822897051879
col-0,Stained,rep_2,12,col-0-Stained-rep_2-12,col-0-Stained,col-0-Stained-rep_2,col-0-rep_2,77936,3076362.494,25125.938,12.591975,238.006,144.503,0.061,226.916,12451.72,86.905,1.011,217.462636363636,214.41625,1.04347120863814,1.0582966542881
col-0,Stained,rep_2,13,col-0-Stained-rep_2-13,col-0-Stained,col-0-Stained-rep_2,col-0-rep_2,90729,3581339.724,28744.943,14.332296,243.086,175.917,0.054,234.589,14229.1,92.277,1.007,217.462636363636,214.41625,1.07875543092251,1.09408218826698
col-0,Stained,rep_2,3,col-0-Stained-rep_2-3,col-0-Stained,col-0-Stained-rep_2,col-0-rep_2,90293,3564129.525,31064.851,15.600155,224.432,125.655,0.046,220.256,15439.231,93.429,1.01,217.462636363636,214.41625,1.01284525784785,1.02723557566183
col-0,Stained,rep_2,38,col-0-Stained-rep_2-38,col-0-Stained,col-0-Stained-rep_2,col-0-rep_2,61814,2439979.871,23534.261,11.944852,202.136,119.372,0.055,218.039,11882.379,89.031,1.005,217.462636363636,214.41625,1.00265040305775,1.01689587426326
