Condition,Replicate,Condition_replicate,Sample,RRmean_absolute,RRmean_relative_NS_Condition,RRmean_relative_NS_rep,PixelCount,Area,Perimeter,Length_mm,AverageThickness,InscrDisc.Radius,Circularity,MaxFeretDiam,MaxFeretDiamAngle,Tortuosity
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-6,221.556,1.0188232962904,1.03431638580287,64918,2575951.392,23375.58,11.721664,216.815,132.283,0.059,11518.098,92.319,1.018
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-7,217.984,1.00239748604671,1.01764079078361,71163,2823753.488,23743.05,11.981192,236.713,144.882,0.063,11826.962,85.601,1.013
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-8,233.603,1.07422131868839,1.09055683742579,71874,2851966.024,23232.294,11.378987,241.613,138.583,0.066,10889.415,88.376,1.045
col-0,rep_3,col-0-rep_3,col-0-Stained-rep_3-9,224.547,1.03257738319937,1.04827962900069,56790,2253431.707,19487.014,9.485444,213.144,144.882,0.075,9259.485,82.691,1.024
qua-2,rep_1,qua-2-rep_1,qua-2-Stained-rep_1-1,265.304,1.16534357165037,1.21084219125815,56115,2215023.626,19360.482,9.16285,222.073,150.786,0.074,7997.86,83.188,1.146
qua-2,rep_1,qua-2-rep_1,qua-2-Stained-rep_1-10,286.067,1.25654471666958,1.30560411123332,30524,1204871.802,10958.168,5.125556,216.753,138.22,0.126,4855.309,73.769,1.056
qua-2,rep_1,qua-2-rep_1,qua-2-Stained-rep_1-11,265.615,1.16670963417028,1.21226158908661,35307,1393670.84,14112.077,6.701269,196.387,138.22,0.088,4452.417,53.955,1.505
qua-2,rep_1,qua-2-rep_1,qua-2-Stained-rep_1-2,283.453,1.24506276352792,1.29367386710603,40926,1615469.249,14342.304,6.885982,227.708,144.503,0.099,6164.219,80.614,1.117
qua-2,rep_1,qua-2-rep_1,qua-2-Stained-rep_1-3,267.198,1.17366293632148,1.21948636967326,48285,1905950.562,16803.454,7.805776,225.869,157.069,0.085,6791.166,83.999,1.149
qua-2,rep_1,qua-2-rep_1,qua-2-Stained-rep_1-4,284.677,1.25043916392784,1.29926017881674,54499,2151235.367,17778.076,8.398868,242.702,157.069,0.086,7101.877,79.654,1.183
